Mic_Zone_ID,TAZ_ID,attr,,,,,,,,
1,20739000,0,,,,,,,,
2,20740000,0,,,,,,,,
3,20739000,0,,,,,,,,
4,20742000,0,,,,,,,,
5,20741000,0,,,,,,,,
6,20742000,0,,,,,,,,
7,20741000,0,,,,,,,,
8,20744000,0,,,,,,,,
9,20744000,0,,,,,,,,
10,20744000,0,,,,,,,,
11,20743000,0,,,,,,,,
12,20745000,0,,,,,,,,
13,20744000,0,,,,,,,,
14,20746000,0,,,,,,,,
15,20744000,0,,,,,,,,
16,20746000,0,,,,,,,,
17,20746000,0,,,,,,,,
18,20749000,0,,,,,,,,
19,20747000,0,,,,,,,,
20,20750000,0,,,,,,,,
21,20750000,0,,,,,,,,
22,20747000,0,,,,,,,,
23,20750000,0,,,,,,,,
24,20752000,0,,,,,,,,
25,20749000,0,,,,,,,,
26,20750000,0,,,,,,,,
27,20753000,0,,,,,,,,
28,20750000,0,,,,,,,,
29,20753000,0,,,,,,,,
30,20755000,0,,,,,,,,
31,20757000,0,,,,,,,,
32,20752000,0,,,,,,,,
33,20758000,0,,,,,,,,
34,20756000,0,,,,,,,,
35,20757000,0,,,,,,,,
36,20759000,0,,,,,,,,
37,20759000,0,,,,,,,,
38,20755000,0,,,,,,,,
39,20761000,0,,,,,,,,
40,20762000,0,,,,,,,,
41,20751000,0,,,,,,,,
42,20760000,0,,,,,,,,
43,20774000,0,,,,,,,,
44,20511000,0,,,,,,,,
45,20505000,0,,,,,,,,
46,20511000,0,,,,,,,,
47,20512000,0,,,,,,,,
48,20514000,0,,,,,,,,
49,20766000,0,,,,,,,,
50,20760000,0,,,,,,,,
51,20761000,0,,,,,,,,
52,20505000,0,,,,,,,,
53,20515000,0,,,,,,,,
54,20517000,0,,,,,,,,
55,20761000,0,,,,,,,,
56,20769000,0,,,,,,,,
57,20760000,0,,,,,,,,
58,20515000,0,,,,,,,,
59,20505000,0,,,,,,,,
60,20770000,0,,,,,,,,
61,20505000,0,,,,,,,,
62,20509000,0,,,,,,,,
63,20509000,0,,,,,,,,
64,20766000,0,,,,,,,,
65,20511000,0,,,,,,,,
66,20760000,0,,,,,,,,
67,20769000,0,,,,,,,,
68,20768000,0,,,,,,,,
69,20773000,0,,,,,,,,
70,20515000,0,,,,,,,,
71,20515000,0,,,,,,,,
72,20773000,0,,,,,,,,
73,20774000,0,,,,,,,,
74,20765000,0,,,,,,,,
75,20777000,0,,,,,,,,
76,20774000,0,,,,,,,,
77,20767000,0,,,,,,,,
78,20773000,0,,,,,,,,
79,20782000,0,,,,,,,,
80,20828000,0,,,,,,,,
81,20517000,0,,,,,,,,
82,20764000,0,,,,,,,,
83,20772000,0,,,,,,,,
84,20777000,0,,,,,,,,
85,20828000,0,,,,,,,,
86,20522000,0,,,,,,,,
87,20778000,0,,,,,,,,
88,20784000,0,,,,,,,,
89,20787000,0,,,,,,,,
90,20781000,0,,,,,,,,
91,20795000,0,,,,,,,,
92,20780000,0,,,,,,,,
93,20783000,0,,,,,,,,
94,20522000,0,,,,,,,,
95,20787000,0,,,,,,,,
96,20782000,0,,,,,,,,
97,20788000,0,,,,,,,,
98,20790000,0,,,,,,,,
99,20783000,0,,,,,,,,
100,20786000,0,,,,,,,,
101,20832000,0,,,,,,,,
102,20539000,0,,,,,,,,
103,20534000,0,,,,,,,,
104,20788000,0,,,,,,,,
105,20796000,0,,,,,,,,
106,20785000,0,,,,,,,,
107,20797000,0,,,,,,,,
108,20838000,0,,,,,,,,
109,20796000,0,,,,,,,,
110,20528000,0,,,,,,,,
111,20792000,0,,,,,,,,
112,20801000,0,,,,,,,,
113,20839000,0,,,,,,,,
114,20800000,0,,,,,,,,
115,20547000,0,,,,,,,,
116,20553000,0,,,,,,,,
117,20801000,0,,,,,,,,
118,20800000,0,,,,,,,,
119,20840000,0,,,,,,,,
120,20798000,0,,,,,,,,
121,20804000,0,,,,,,,,
122,20805000,0,,,,,,,,
123,20842000,0,,,,,,,,
124,20793000,0,,,,,,,,
125,20795000,0,,,,,,,,
126,20546000,0,,,,,,,,
127,20560000,0,,,,,,,,
128,20546000,0,,,,,,,,
129,20559000,0,,,,,,,,
130,20800000,0,,,,,,,,
131,20836000,0,,,,,,,,
132,20842000,0,,,,,,,,
133,20806000,0,,,,,,,,
134,20843000,0,,,,,,,,
135,20805000,0,,,,,,,,
136,20802000,0,,,,,,,,
137,20805000,0,,,,,,,,
138,20843000,0,,,,,,,,
139,20803000,0,,,,,,,,
140,20843000,0,,,,,,,,
141,20557000,0,,,,,,,,
142,20558000,0,,,,,,,,
143,20844000,0,,,,,,,,
144,20804000,0,,,,,,,,
145,20559000,0,,,,,,,,
146,20845000,0,,,,,,,,
147,20847000,0,,,,,,,,
148,20811000,0,,,,,,,,
149,20552000,0,,,,,,,,
150,20847000,0,,,,,,,,
151,20843000,0,,,,,,,,
152,20810000,0,,,,,,,,
153,20554000,0,,,,,,,,
154,20561000,0,,,,,,,,
155,20811000,0,,,,,,,,
156,20807000,0,,,,,,,,
157,20844000,0,,,,,,,,
158,20843000,0,,,,,,,,
159,20563000,0,,,,,,,,
160,20555000,0,,,,,,,,
161,20812000,0,,,,,,,,
162,20844000,0,,,,,,,,
163,20564000,0,,,,,,,,
164,21119000,0,,,,,,,,
165,20566000,0,,,,,,,,
166,20847000,0,,,,,,,,
167,20565000,0,,,,,,,,
168,20815000,0,,,,,,,,
169,20818000,0,,,,,,,,
170,20822000,0,,,,,,,,
171,20808000,0,,,,,,,,
172,20813000,0,,,,,,,,
173,20850000,0,,,,,,,,
174,20822000,0,,,,,,,,
175,20812000,0,,,,,,,,
176,20571000,0,,,,,,,,
177,20567000,0,,,,,,,,
178,20572000,0,,,,,,,,
179,20563000,0,,,,,,,,
180,20568000,0,,,,,,,,
181,20569000,0,,,,,,,,
182,20850000,0,,,,,,,,
183,20820000,0,,,,,,,,
184,20817000,0,,,,,,,,
185,20817000,0,,,,,,,,
186,20856000,0,,,,,,,,
187,21116000,0,,,,,,,,
188,20820000,0,,,,,,,,
189,21116000,0,,,,,,,,
190,20573000,0,,,,,,,,
191,20576000,0,,,,,,,,
192,20575000,0,,,,,,,,
193,20855000,0,,,,,,,,
194,20854000,0,,,,,,,,
195,20856000,0,,,,,,,,
196,21116000,0,,,,,,,,
197,20570000,0,,,,,,,,
198,20821000,0,,,,,,,,
199,21115000,0,,,,,,,,
200,20815000,0,,,,,,,,
201,20855000,0,,,,,,,,
202,20823000,0,,,,,,,,
203,20855000,0,,,,,,,,
204,20854000,0,,,,,,,,
205,20855000,0,,,,,,,,
206,20571000,0,,,,,,,,
