LA	subnetwork	OD	with	preload									
51838	0	0	1										
1	161	2	302.2	0.05	0	3600	1	0	0	0	0	1	1
2	161	3	14.8	0.05	0	3600	1	0	0	0	0	1	1
3	161	4	14.5	0.05	0	3600	1	0	0	0	0	1	1
4	161	5	5.3	0.05	0	3600	1	0	0	0	0	1	1
5	163	6	55.06	0.05	0	3600	1	0	0	0	0	1	1
6	163	7	58.39	0.05	0	3600	1	0	0	0	0	1	1
7	161	8	6.9	0.05	0	3600	1	0	0	0	0	1	1
8	163	9	40.63	0.05	0	3600	1	0	0	0	0	1	1
9	163	10	51.04	0.05	0	3600	1	0	0	0	0	1	1
10	163	11	13.1	0.05	0	3600	1	0	0	0	0	1	1
11	161	12	8.3	0.05	0	3600	1	0	0	0	0	1	1
12	163	13	88.17	0.05	0	3600	1	0	0	0	0	1	1
13	161	14	29.25	0.05	0	3600	1	0	0	0	0	1	1
14	163	15	71.45	0.05	0	3600	1	0	0	0	0	1	1
15	161	17	18.64	0.05	0	3600	1	0	0	0	0	1	1
16	163	18	43.78	0.05	0	3600	1	0	0	0	0	1	1
17	161	19	8.3	0.05	0	3600	1	0	0	0	0	1	1
18	163	20	27.68	0.05	0	3600	1	0	0	0	0	1	1
19	163	24	3.01	0.05	0	3600	1	0	0	0	0	1	1
20	167	25	55.9	0.05	0	3600	1	0	0	0	0	1	1
21	167	26	17.98	0.05	0	3600	1	0	0	0	0	1	1
22	163	27	2.8	0.05	0	3600	1	0	0	0	0	1	1
23	163	28	12.67	0.05	0	3600	1	0	0	0	0	1	1
24	163	29	30.1	0.05	0	3600	1	0	0	0	0	1	1
25	167	30	6.32	0.05	0	3600	1	0	0	0	0	1	1
26	163	31	27.86	0.05	0	3600	1	0	0	0	0	1	1
27	167	32	5.77	0.05	0	3600	1	0	0	0	0	1	1
28	163	33	10.22	0.05	0	3600	1	0	0	0	0	1	1
29	168	35	47.07	0.05	0	3600	1	0	0	0	0	1	1
30	167	36	12.17	0.05	0	3600	1	0	0	0	0	1	1
31	167	37	19.35	0.05	0	3600	1	0	0	0	0	1	1
32	168	38	26.32	0.05	0	3600	1	0	0	0	0	1	1
33	172	39	37.94	0.05	0	3600	1	0	0	0	0	1	1
34	172	40	45.32	0.05	0	3600	1	0	0	0	0	1	1
35	172	41	46.45	0.05	0	3600	1	0	0	0	0	1	1
36	172	43	153.75	0.05	0	3600	1	0	0	0	0	1	1
37	172	44	264.43	0.05	0	3600	1	0	0	0	0	1	1
38	163	45	1.33	0.05	0	3600	1	0	0	0	0	1	1
39	163	46	21.07	0.05	0	3600	1	0	0	0	0	1	1
40	172	47	103.9	0.05	0	3600	1	0	0	0	0	1	1
41	172	48	174.86	0.05	0	3600	1	0	0	0	0	1	1
42	172	49	218.73	0.05	0	3600	1	0	0	0	0	1	1
43	172	50	169.94	0.05	0	3600	1	0	0	0	0	1	1
44	163	51	2.94	0.05	0	3600	1	0	0	0	0	1	1
45	173	52	80.97	0.05	0	3600	1	0	0	0	0	1	1
46	163	53	2.94	0.05	0	3600	1	0	0	0	0	1	1
47	163	54	2.94	0.05	0	3600	1	0	0	0	0	1	1
48	172	55	182.65	0.05	0	3600	1	0	0	0	0	1	1
49	172	57	29.4	0.05	0	3600	1	0	0	0	0	1	1
50	173	58	49.8	0.05	0	3600	1	0	0	0	0	1	1
51	172	59	36.48	0.05	0	3600	1	0	0	0	0	1	1
52	172	60	182.65	0.05	0	3600	1	0	0	0	0	1	1
53	163	61	2.03	0.05	0	3600	1	0	0	0	0	1	1
54	172	62	173.41	0.05	0	3600	1	0	0	0	0	1	1
55	172	63	45.8	0.05	0	3600	1	0	0	0	0	1	1
56	172	64	104.29	0.05	0	3600	1	0	0	0	0	1	1
57	172	65	138.37	0.05	0	3600	1	0	0	0	0	1	1
