micpoint,UD-node,longitude,latitude,orignode
41,94363956,-118.48176,34.12416,94363956
44,48854057,-118.4804,34.12878,48854054
45,48876774,-118.48001,34.18663,48876774
46,48854062,-118.47944,34.12916,48854062
47,48876817,-118.4793,34.19391,48876817
48,48877225,-118.4793,34.20125,48877225
52,48884429,-118.47577,34.17171,48884429
54,48885739,-118.47493,34.2039,48885739
53,48883819,-118.47491,34.15518,48883819
58,48884289,-118.47361,34.16444,48884318
59,288355125,-118.47345,34.16461,312618209
61,48884398,-118.47338,34.16469,48884398
62,48885867,-118.47334,34.21831,48885867
63,48885868,-118.47314,34.2183,48885868
65,48883753,-118.47174,34.14685,48883753
70,48883850,-118.46985,34.15036,48883850
71,48883866,-118.46954,34.15189,48883866
81,48885900,-118.46621,34.20753,48885900
86,48884222,-118.46257,34.14924,48884222
94,48884819,-118.45745,34.15759,48884819
102,48886056,-118.45311,34.18263,48886056
103,48886123,-118.45203,34.19066,48886123
110,48886312,-118.44877,34.21027,48886312
115,48886165,-118.44437,34.18264,48886165
116,48886208,-118.44436,34.19066,48886208
126,48885382,-118.43999,34.17032,48885382
127,48886425,-118.43999,34.20482,48886425
128,48885387,-118.43998,34.17393,48885387
129,48886247,-118.43996,34.19754,48886247
141,48887180,-118.43563,34.17576,48887180
142,48888201,-118.43563,34.18304,48888201
145,48888295,-118.43451,34.19754,48888295
149,48887104,-118.4335,34.16122,48887104
153,48888555,-118.43112,34.20824,311859867
154,48886718,-118.43066,34.14484,48886718
159,48887133,-118.42908,34.16122,48887133
160,48869452,-118.42902,34.13427,48869452
163,48888251,-118.42802,34.18304,48888251
165,48887225,-118.42796,34.17572,48887225
167,48888426,-118.42688,34.19758,48888426
176,48888772,-118.42254,34.2063,48888772
177,48888452,-118.42253,34.1903,48888452
178,48886941,-118.42251,34.14362,48886941
179,48887041,-118.42251,34.15167,48887041
180,48888482,-118.42251,34.19757,48888482
181,48887419,-118.4225,34.17576,48887419
190,48887343,-118.41819,34.16836,48887343
191,48886994,-118.41815,34.14824,48886994
192,48887055,-118.41815,34.15399,48887055
197,48888997,-118.41635,34.19029,48888997
206,48889440,-118.41439,34.21421,311862501
214,48889039,-118.40997,34.19033,48889039
216,48887576,-118.40945,34.14673,48887576
217,48887983,-118.40943,34.1683,48887983
219,48889565,-118.40824,34.21428,805752132
222,48888968,-118.40738,34.18304,48888968
224,48889555,-118.40717,34.21099,805753288
227,48889775,-118.40525,34.2144,48889761
235,48889151,-118.40195,34.18306,48889151
240,48888090,-118.40089,34.16125,48888090
241,48887785,-118.40087,34.14855,48887785
242,48887856,-118.40087,34.15216,48887856
249,49266556,-118.39651,34.21388,49266556
262,49265028,-118.39318,34.16125,49265028
274,49266618,-118.38778,34.21479,49266618
285,49242205,-118.38562,34.1358,49242205
286,49241414,-118.38552,34.10839,49241414
288,49265357,-118.3834,34.17577,49265357
289,49264896,-118.38337,34.15219,49264896
290,49264830,-118.38336,34.14857,49264830
296,49264861,-118.38118,34.14672,49264861
304,49266469,-118.37904,34.19031,49266469
305,49266475,-118.37903,34.19792,49266481
306,49266673,-118.37903,34.20481,49266673
312,49264877,-118.37725,34.14675,49264877
314,49266010,-118.37632,34.17578,49266010
321,49266996,-118.37252,34.20482,49266996
325,49267064,-118.37033,34.21388,49267064
338,49267020,-118.36706,34.20481,49267020
339,49265785,-118.36631,34.14806,49265785
342,49266063,-118.36482,34.16128,49266063
360,49244118,-118.35972,34.12421,49244118
363,49265811,-118.35929,34.14791,49265811
364,49267281,-118.3588,34.22081,311823354
366,49266101,-118.35827,34.1613,49266101
367,298353668,-118.35779,34.2215,298353668
370,49267283,-118.35739,34.22049,49267283
374,49244153,-118.35712,34.12415,49244153
378,94327738,-118.35682,34.1374,94327738
379,49267201,-118.35634,34.21044,49267201
398,49268569,-118.35145,34.18112,49268569
399,298952808,-118.35137,34.1347,825384182
400,49268581,-118.35132,34.18839,49268581
417,49268994,-118.34674,34.21323,49268994
422,49268755,-118.34554,34.19927,49268755
429,49268687,-118.34481,34.18103,49268687
430,49268700,-118.34466,34.18831,49268700
433,49246806,-118.3441,34.12444,49246806
436,297530052,-118.34335,34.14308,297530052
444,49267982,-118.34262,34.17343,49267982
459,49246936,-118.34043,34.1236,49246936
472,49269145,-118.33734,34.21006,49269145
473,49267973,-118.3362,34.16747,49267973
484,49268138,-118.33136,34.15497,49268138
489,49268421,-118.32999,34.16954,49268421
494,49268153,-118.32932,34.15084,49268153
500,49268086,-118.32658,34.14877,49268086
510,49268316,-118.32394,34.15568,801755752
541,49268557,-118.31601,34.17902,49268557
545,49275647,-118.31485,34.18744,49275647
580,49275670,-118.30646,34.18129,49275670
582,49274346,-118.30605,34.1768,49274346
600,49275767,-118.30422,34.18175,49275767
615,49275789,-118.30138,34.18784,49275789
658,49274679,-118.29496,34.17908,49274679
676,49274687,-118.29026,34.14199,49274687
681,49275418,-118.28961,34.17117,49275418
696,49274982,-118.28733,34.15544,49274982
721,49274941,-118.2849,34.1499,49274938
726,49275388,-118.2844,34.15999,49275388
747,49275553,-118.27995,34.16989,49275553
759,49275247,-118.27791,34.15283,49275247
787,49276636,-118.27234,34.15398,49276636
788,49276687,-118.27112,34.15561,49276687
805,49276731,-118.26829,34.15558,49276731
806,49276575,-118.26825,34.14182,49276575
807,49276762,-118.26824,34.15542,297805712
808,49262633,-118.26818,34.13339,49262633
812,49276576,-118.2678,34.14197,49276576
863,49262808,-118.25783,34.13351,49262808
1238,48853668,-118.48248,34.11019,48853668
1258,48863932,-118.478,34.1006,48863932
1268,48862205,-118.47676,34.09625,48862205
1491,48865290,-118.44628,34.10601,48865290
1781,48870337,-118.40488,34.11006,48870337
2244,49243047,-118.3655,34.10185,49243047
2544,49246222,-118.33649,34.11299,49246222
2550,49246218,-118.33588,34.11123,49246218
2571,49247498,-118.33463,34.11149,49247498
2577,49247468,-118.33406,34.1099,49247468
2581,49247482,-118.33386,34.11001,49247482
3386,49262519,-118.27412,34.12486,49262519
3413,49262530,-118.27367,34.12737,49262530
3422,49262531,-118.27319,34.1267,49262531
3660,49262715,-118.25924,34.12833,49262715
1,826578731,-118.56617,34.04156,826578731
2,48847227,-118.53334,34.04697,48847227
3,48847255,-118.53182,34.05082,48847255
4,48847408,-118.52627,34.04559,48847408
5,48847630,-118.52453,34.04821,48847630
6,48846737,-118.52417,34.03371,48846737
7,48848839,-118.51565,34.04931,48848839
8,48848529,-118.5082,34.02726,48848529
9,48849005,-118.50681,34.03967,48849005
10,48848534,-118.50671,34.02637,48848534
11,48849118,-118.50625,34.05157,48849118
12,48849151,-118.50394,34.05042,48849151
13,48848612,-118.50293,34.02935,48848612
14,298098234,-118.50185,34.01895,298098234
15,48848626,-118.50067,34.03371,48848626
16,48848520,-118.5006,34.02264,48848520
17,298098242,-118.49992,34.0205,298098242
18,48849243,-118.49751,34.01839,813258162
19,48849256,-118.49682,34.0257,48849256
20,48849463,-118.49662,34.03655,48849463
21,48849467,-118.49658,34.03958,48849467
22,48849305,-118.49398,34.028,48849305
23,48849323,-118.49378,34.0357,48849323
24,48849272,-118.49333,34.02588,48849272
25,48847863,-118.49325,34.01477,838864491
26,48849498,-118.49325,34.04234,48849498
27,48849327,-118.49083,34.03315,48849327
28,48849496,-118.49041,34.04143,48849496
29,48849318,-118.49019,34.03107,48849318
30,48849275,-118.49013,34.02314,48849275
32,48849412,-118.48767,34.03047,48849412
33,48849340,-118.48701,34.02046,48849340
34,48852542,-118.48624,34.05943,48852542
36,48849800,-118.48562,34.05501,48849800
37,48849797,-118.48491,34.05318,48849797
38,48849415,-118.48445,34.02772,48849415
39,48849449,-118.48236,34.03478,48849449
40,48849374,-118.48195,34.01611,48849374
43,48853694,-118.48076,34.11144,48853694
49,48849453,-118.47913,34.03204,48849453
51,48856251,-118.47589,34.04092,48856251
55,48856266,-118.47464,34.0441,48856266
56,48856065,-118.47438,34.03062,48856065
64,48856274,-118.47214,34.0377,48856274
67,48856103,-118.47103,34.03339,48856103
73,48862156,-118.4692,34.08527,48862156
74,48861836,-118.46863,34.07369,838789359
75,48856204,-118.46773,34.03164,48856204
76,48862281,-118.46736,34.08039,48862281
77,48856109,-118.46721,34.01673,48856109
80,838789427,-118.46674,34.07193,838789427
82,48856485,-118.46573,34.04852,48856485
84,48856194,-118.46477,34.02809,48856194
85,48861698,-118.46357,34.06595,48861698
90,48856242,-118.46065,34.034,48856242
